id,tipo,en_stock,categorias,nombre,url
103337,simple,False,Pintura,ESTUCHE PORTABLE BAG 36,https://www.boykot.cl/tienda/pintura/estuche-portable-bag-36/
99152,simple,False,Pinceles,Pincel Princeton Snap! 2 Liner 9650L-2,https://www.boykot.cl/tienda/materiales/pinceles/pincel-princeton-snap-2-liner-9650l-2/
98636,simple,False,Acuarela|Acuarela Holbein|Sets Holbein,Acuarela Set HWC 12 Tubos &#8211; Shigure Collab W496,https://www.boykot.cl/tienda/pintura/holbein/sets-holbein/acuarela-set-hwc-12-tubos-shigure-collab-w496/
98632,simple,False,Gouache Holbein|Pintura|Sets Holbein,Gouache Set 5 Colores 15ml (caja negra) G741,https://www.boykot.cl/tienda/pintura/holbein/sets-holbein/gouache-set-5-colores-15ml-caja-negra-g741/
98625,simple,False,Acuarela|Acuarela Holbein|Sets Holbein,Color Sample HWC Holbein artist watercolor,https://www.boykot.cl/tienda/pintura/holbein/sets-holbein/color-sample-hwc-holbein-artist-watercolor/
98622,simple,False,Accesorios Holbein|Papeles,Coloring Book MUSEUM &#8211; Yuko Higuchi,https://www.boykot.cl/tienda/pintura/holbein/accesorios-holbein/coloring-book-museum-yuko-higuchi/
98613,simple,False,Accesorios Holbein,Paleta plástica Palette 3000 211313,https://www.boykot.cl/tienda/pintura/holbein/accesorios-holbein/paleta-plastica-palette-3000-211313/
97507,simple,False,Brushpen|Kuretake|Tiralíneas Brushpen,"Fude Pen No.22, Black (con deposito) DM150-22B",https://www.boykot.cl/tienda/lapices/brushpen-pens/fude-pen-7/
97121,simple,False,Pinceles,Pincel Princeton Snap! 4 Flat 9800F-4,https://www.boykot.cl/tienda/materiales/pinceles/pincel-princeton-snap-4-flat-9800f-4/
97119,simple,False,Pinceles,Pincel Princeton Snap! 1/4 Angle Shader 9650AS-025,https://www.boykot.cl/tienda/materiales/pinceles/pincel-princeton-snap-1-4-angle-shader-9650as-025/
88890,simple,False,Boligrafo,PLUMA  AL-STAR 028 oceanblue 4000315,https://www.boykot.cl/tienda/lapices/boligrafo/pluma-al-star-028-oceanblue-4000315/
88884,simple,False,Base agua|Catridge Recargas|Tiralíneas Brushpen,Blackliner recarga tinta negra 30ml.,https://www.boykot.cl/tienda/lapices/catridge-recargas/boligrafo-safari-282-noto-black-4000981/
88877,simple,False,Boligrafo,BOLIGRAFO SAFARI 219 black (retractil) 4030235,https://www.boykot.cl/tienda/lapices/boligrafo/boligrafo-safari-219-black-retractil-4030235/
88875,simple,False,Boligrafo,BOLIGRAFO SAFARI 217 umbra (retractil) 4030237,https://www.boykot.cl/tienda/lapices/boligrafo/boligrafo-safari-217-umbra-retractil-4030237/
88873,simple,False,Boligrafo,BOLIGRAFO SAFARI 216 red (retractil) 4000884,https://www.boykot.cl/tienda/lapices/boligrafo/boligrafo-safari-216-red-retractil-4000884/
88871,simple,False,Boligrafo,BOLIGRAFO LOGO 204 M + white bl 4030229,https://www.boykot.cl/tienda/lapices/boligrafo/boligrafo-logo-204-m-white-bl-4030229/
88637,simple,False,Acuarela|Brushpen|Ecoline|Marcadores,Set Ecoline-5 colores Pastel,https://www.boykot.cl/tienda/marcadores/brushpen/set-ecoline-5-colores-pastel/
88205,simple,False,Marcadores,V Super Color Chisel Black SCA-VSC-MC-B,https://www.boykot.cl/tienda/marcadores/v-super-color-chisel-black-sca-vsc-mc-b/
88143,simple,False,Marcadores,Parallel Pen 2.4mm FP3-24-SSN,https://www.boykot.cl/tienda/marcadores/parallel-pen-2-4mm-fp3-24-ssn/
88080,simple,False,Gomas|Gomas y sacapuntas|Grafito|Portaminas y minas,Goma Portaminas MS-10 5un,https://www.boykot.cl/tienda/lapices/grafito/goma-portaminas-ms-10-5un/
87384,simple,False,Boligrafo|Lápices,Uniball Signo 1.0 White (lápiz gel),https://www.boykot.cl/tienda/lapices/boligrafo/uniball-signo-1-0-white-lapiz-gel/
87311,simple,False,Portaminas y minas,Portaminas 0.5 Orenz White,https://www.boykot.cl/tienda/lapices/portaminas-y-minas/portaminas-0-5-orenz-white/
87279,simple,False,Gomas|Gomas y sacapuntas|Lápiz goma,Goma Retractable eraser un.,https://www.boykot.cl/tienda/materiales/gomas-sacapuntas/goma-retractable-eraser-un/
86653,simple,False,Acrilex,Pintura Textil Mate 37 ml color 933 Gris,https://www.boykot.cl/tienda/acrilex/pintura-textil-mate-37-ml-color-933-gris/
86556,simple,False,Acrilex,Pintura Textil Mate 37 ml color 986 Caqui,https://www.boykot.cl/tienda/acrilex/pintura-textil-mate-37-ml-color-986-caqui/
86545,simple,False,Acrilex,Pintura Textil Mate 37 ml color 985 Verde Kiwi,https://www.boykot.cl/tienda/acrilex/pintura-textil-mate-37-ml-color-985-verde-kiwi/
86492,simple,False,Acrilex,Pintura Textil Mate 37 ml color 984 Rojo Navidad,https://www.boykot.cl/tienda/acrilex/pintura-textil-mate-37-ml-color-984-rojo-navidad/
85997,simple,False,Pinceles,Pincel KRACK &#8211; LENGUA DE GATO N°7,https://www.boykot.cl/tienda/materiales/pinceles/lengua-de-gato-n7/
85992,simple,False,Pinceles,Pincel KRACK &#8211; LENGUA DE GATO N°2,https://www.boykot.cl/tienda/materiales/pinceles/lengua-de-gato-n2/
85987,simple,False,Pinceles,Pincel KRACK &#8211; ANGULAR N°5,https://www.boykot.cl/tienda/materiales/pinceles/angular-n5/
